| Benchmark | Notes / Configuration | Gemini 3.1 Pro (Thinking: High) | Gemini 3 Pro (Thinking: High) | Gemini 3 Flash Thinking | Gemini 2.5 Pro Thinking | Gemini 2.5 Flash Thinking | Claude Sonnet 4.6 (Thinking: Max) | Claude Opus 4.6 (Thinking: Max) | Claude Sonnet 4.5 | Claude Opus 4.5 | Claude Haiku 4.5 | GPT-5.2 (xhigh) | GPT-5.2 (High) | GPT-5.2 (Med) | GPT-5.2 (Low) | GPT-5.2 (Minimal) | GPT-5.2 (Fast) | GPT-5.2 Codex (xhigh) | GPT-5.2 Codex (High) | GPT-5.2 Codex (Med) | GPT-5.2 Codex (Low) | GPT-5.2 Codex (Minimal) | GPT-5.2 Codex (Fast) | GPT-5.3 Codex (xhigh) | GPT-5.3 Codex (High) | GPT-5.3 Codex (Med) | GPT-5.3 Codex (Low) | GPT-5.3 Codex Fast (xhigh) | GPT-5.3 Codex Fast (High) | GPT-5.3 Codex Fast (Med) | GPT-5.3 Codex Fast (Low) | GPT-5.3 Codex Spark (xhigh) | GPT-5.3 Codex Spark (High) | GPT-5.3 Codex Spark (Med) | GPT-5.3 Codex Spark (Low) | GPT-5 Mini | GPT-4.1 | Grok 4.1 Fast Reasoning | Qwen 3 Max Thinking | Qwen 3.5 Plus | Qwen 3.5 (397B) | Qwen 3-VL | Qwen 3 Base | DeepSeek V3.2 | DeepSeek V3.2 Speciale | MiniMax M2.5 | MiniMax M2.1 | MiniMax M2 | Kimi K2.5 | Kimi K2 Thinking | GLM-5 | GLM-4.7 | GLM-4.7 Flash | GLM-4.5 | Step 3.5 Flash | GPT-OSS 120B | Devstral 2 |
| Input Price | $/1M tokens | — | $2.00 / $4.00 (>200k) | $0.50 | $1.25 / $2.50 | $0.30 | $3.00 | — | $3.00 / $6.00 | — | — | $1.75 | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | $0.20 | $1.20 | $0.40 | $0.15 | — | — | — | — | $0.30 | — | — | — | — | $0.30 | — | — | — | — | — | — |
| Output Price | $/1M tokens | — | $12.00 / $18.00 (>200k) | $3.00 | $10.00 / $15.00 | $2.50 | $15.00 | — | $15.00 / $22.50 | — | — | $14.00 | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | $0.50 | $6.00 | $2.40 | $1.00 | — | — | — | — | $1.10 | — | — | — | — | $2.55 | — | — | — | — | — | — |
| Humanity's Last Exam | Academic reasoning (No tools) | 44.4% | 37.5% / 37.7% | 33.7% | 21.6% | 11.0% | 33.2% | 40.0% / 30.7% | 13.7% / 17.3% | 30.8% / 28.4% | — | 34.5% / 31.4% | 26.3% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 17.6% | 30.2% | — | 28.7% | — | — | 25.1% | 30.6% | 19.4% | 22.2% | — | 31.5% | 23.9% | 30.5% | 24.8% | — | — | — | — | — |
| Humanity's Last Exam | Search + Code (With tools) | 51.4% | 45.8% | 43.5% | — | — | 49.0% | 53.0% | 33.6% | 43.4% | — | 45.5% / 50.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 49.8% | — | 48.3% | — | — | 40.8% | — | — | — | — | 51.8% | — | 50.4% | 42.8% | — | — | — | — | — |
| ARC-AGI-2 | Visual/Abstract puzzles | 77.1% | 31.1% | 33.6% | 4.9% | 2.5% | 58.3% | 68.8% | 13.6% | 37.6% | — | 52.9% / 54.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| GPQA Diamond | Scientific knowledge (No tools) | 94.3% | 91.9% | 90.4% | 86.4% | 82.8% | 89.9% | 91.3% / 90.0% | 83.4% / 83.0% | 87.0% | — | 92.4% / 90.0% | 85.7% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 84.3% | — | — | — | — | — | 82.4% | 85.7% | 85.2% | 83.0% | — | 87.6% | 84.5% | 86.0% | 85.7% | — | — | — | — | — |
| AIME 2025 | Mathematics (No tools) | — | 95.0% / 96.0% | 95.2% | 88.0% | 72.0% | — | 95.6% | 87.0% / 88.0% | 91.0% | — | 100% / 98.0% | 94.6% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 91.9% | — | — | — | — | — | 93.1% | 96.0% | 86.3% | 83.0% | — | — | 94.5% | — | — | — | — | — | — | — |
| AIME 2025 | Mathematics (With code) | — | 100% | 99.7% | — | 75.7% | — | — | 100% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| AIME 2026 I | Future iteration AIME | — | 90.6% | — | — | — | — | — | — | 93.3% | — | 96.7% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 93.3% | — | 91.3% | — | — | 92.7% | — | — | — | — | 92.5% | — | 92.7% | 92.9% | — | — | — | — | — |
| HMMT Feb 25 | Harvard-MIT Math Tournament | — | 97.5% | — | — | — | — | — | 79.2% | 92.9% | — | 99.4% | 88.3% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 98.0% | — | 94.8% | — | — | 92.5% | 99.2% | — | — | — | — | 89.4% | — | — | — | — | — | — | — |
